word v0 v1 v2 v3 v4 v5
alice 0.618397181344676 0.48661445275706 0.8650752057085098 1.0 0.6470197584108262 0.5807495667941966
was 0.6208428238637279 0.48757044552514767 0.8645634610274872 1.0 0.648010135916912 0.5815166977646073
beginning 0.619612995483911 0.492050937413451 0.8689958908677786 1.0 0.6437348451021065 0.5807665481593688
to 0.6202163060778038 0.48774318733519484 0.865587636231704 1.0 0.6477423313871257 0.5808324338417641
get 0.6207528897188731 0.4903074370539351 0.8697048333486681 1.0 0.647518965533812 0.58294947266102
very 0.6169588822170026 0.486082385489619 0.8644055626905093 1.0 0.6467447110524697 0.581080160001733
tired 0.6177735522790548 0.4920748698266425 0.8677638012007327 1.0 0.6445860739430072 0.5786452913217441
of 0.6201443767919171 0.4877163210641369 0.8643688604287448 1.0 0.6477919466151106 0.5814695363634215
sitting 0.6177351987235712 0.4921846341482041 0.8694784794974614 1.0 0.6435961192355569 0.5788417387241199
by 0.6197295447750678 0.48910743392752865 0.8672247859487104 1.0 0.6456576609404292 0.5809344385291603
her 0.618802183755023 0.4879169384854257 0.8650008453362944 1.0 0.6460588585444862 0.5803637329850374
sister 0.6219309523151698 0.4941281759955721 0.8705074527221265 1.0 0.6462776190512856 0.5811814010546907
on 0.6201333202494108 0.4869474820546926 0.8627976139762465 1.0 0.647060527459193 0.5814539612705248
the 0.6194560849210441 0.48654631803812004 0.863906119424088 1.0 0.6475153681495727 0.5812753560629685
bank 0.6206736678169416 0.49243821218550365 0.8703518294065324 1.0 0.6463966403370278 0.5806119732848318
and 0.6201630122879337 0.4879271389939189 0.8649536042365049 1.0 0.6469848817700061 0.581136526797942
having 0.6175566874628357 0.4885994549064744 0.8661721994963855 1.0 0.6470734173374268 0.5802902405813505
nothing 0.6199234351836655 0.4892564413282291 0.8671489663334278 1.0 0.6469124857236592 0.5821818800630606
do 0.626348353006806 0.49221591776735446 0.8690507165549857 1.0 0.6501915808080047 0.5816095499061931
once 0.6157362331723204 0.4867974601599656 0.8616477996744064 1.0 0.6490381284192006 0.5791087023546652
or 0.622695690596445 0.49034604262772175 0.8663785148485589 1.0 0.6485723059542733 0.5813709701010367
twice 0.6210987909817696 0.4942109841699201 0.8715449437661064 1.0 0.6462246130367617 0.5821993793809925
she 0.6204296303219693 0.48793670604552175 0.8649553071399306 1.0 0.6474277203012834 0.5813595914601045
peeped 0.6261336656359461 0.4960749417035907 0.8715381327617463 1.0 0.6489635668194738 0.5835249443129263
into 0.6196373495868167 0.48689990353991586 0.8663644245493478 1.0 0.6465585376277739 0.5811755561694117
book 0.6259646821768056 0.49598498955583986 0.8675089605582036 1.0 0.6487971531886859 0.5825070046750861
reading 0.63052163196536 0.4987877390532938 0.8741813872946613 1.0 0.6444861359285556 0.5823832594292163
but 0.6217415571348385 0.4884552130960571 0.8646591117167668 1.0 0.6469939259478374 0.5815182739282205
