word v0 v1 v2 v3 v4 v5
alice 0.36039224472097003 0.39316250852572693 0.7452266821647963 1.0 0.35681794461596983 0.7253896279875914
was 0.36159667024110387 0.39340139823326725 0.7471308999976256 1.0 0.35707652003963464 0.7254352086692877
beginning 0.35892944256784515 0.39499965370231593 0.7482740848437108 1.0 0.358156019992706 0.7292320151911388
to 0.36125006219466665 0.39323292723536285 0.7472448441700793 1.0 0.35758201625533825 0.7251266570100993
get 0.36100527687874473 0.3933484305459434 0.7466085059617227 1.0 0.3571057251389271 0.7253698668746268
very 0.36182806430807074 0.39336456244353113 0.748387640406759 1.0 0.35740975369827993 0.7255128627751805
tired 0.3630189843412755 0.3932764365987474 0.7473012442575425 1.0 0.358336993506335 0.7275434233981771
of 0.3612388136577317 0.39311647582605797 0.746461610183902 1.0 0.3569466864317706 0.7253034065009065
sitting 0.3597799575181067 0.393367080466631 0.7474753959072764 1.0 0.35846830884479886 0.7277769982511137
by 0.3621267452691862 0.3936387226306827 0.7464165318422747 1.0 0.3573595242464403 0.7259394936491845
her 0.3608394891572382 0.3933846603931994 0.74822989953714 1.0 0.3576332554658592 0.7252014988389588
sister 0.3597401059995977 0.39344411306230903 0.7479842628875172 1.0 0.35862774677777953 0.727637193197602
on 0.36150164133588153 0.3931648857759489 0.7465192241190364 1.0 0.35664392048437965 0.7246733733192885
the 0.36167601318560183 0.3932841745011315 0.7468484697918172 1.0 0.35705600436323287 0.7255980790316421
bank 0.3593510244349265 0.3935859499594868 0.7488463183876714 1.0 0.35839815040086836 0.725670655293348
and 0.36083348254219805 0.39315781115071563 0.7459630849092919 1.0 0.35659603567115805 0.7251198868455402
having 0.3618590591923166 0.3927287021199271 0.7466339790176169 1.0 0.35627475598878844 0.7232838102590172
nothing 0.36148029309796226 0.39354450840454347 0.7477431072443289 1.0 0.3564412155967834 0.725074662336697
do 0.36132977340110867 0.39450666166619514 0.7498949957027835 1.0 0.358781547200686 0.7263983987080281
once 0.36120220967359945 0.393112304720381 0.7454789747160154 1.0 0.3575646166884001 0.7251809541201681
or 0.3608686848134109 0.39369743039443694 0.7470559260242446 1.0 0.3576112439523748 0.7263426099643617
twice 0.359808093999724 0.3939899558189502 0.7494343227111392 1.0 0.35861666038808354 0.7264490940193974
she 0.3614551128779469 0.39338205040757734 0.7467179117800127 1.0 0.35703139821105345 0.7248886154585621
peeped 0.35970027198428506 0.3935211118244795 0.7484929063681517 1.0 0.3587871146839819 0.7274974495479061
into 0.3615817961548199 0.39319250466727784 0.7452775848992302 1.0 0.3567720277996696 0.7252350784232462
book 0.3593271536953837 0.39424125144096345 0.7472166831089428 1.0 0.35804008812974825 0.7256511748791125
reading 0.3591191296655179 0.39319251634660773 0.7490151397182683 1.0 0.35900294189281057 0.7274953218282397
but 0.36263139363568386 0.3936807241601848 0.7482830716886716 1.0 0.35823044751771677 0.7267917201339119
it 0.3616834229144575 0.39346205958053576 0.7469256739418675 1.0 0.35711239469244827 0.7254223846765888
had 0.3619716783249595 0.3934830167691568 0.746871506423137 1.0 0.3573105734659131 0.7255150867243747
no 0.3623422770715696 0.39326161160373896 0.7480870664986135 1.0 0.3571797227637468 0.7270551093982172
pictures 0.3581716848419162 0.39304328941345884 0.7465493828162537 1.0 0.35717361506297607 0.724679764295477
conversations 0.3599553443086378 0.39446561563736976 0.7476526265717959 1.0 0.35848325470840087 0.7268214340388955
in 0.36113170385746207 0.3930466782372798 0.746343689436807 1.0 0.3562109976336589 0.7256621162432733
what 0.36082071743367927 0.39327313906885825 0.7467269763286157 1.0 0.35709383083733537 0.7250171024447152
s 0.36231665828437537 0.39369539429459127 0.7484741071774089 1.0 0.3575396048689322 0.7280812246192638
use 0.3622609849825255 0.39341982111477225 0.7462918360281788 1.0 0.3559990015334247 0.7281465607860842
a 0.3608777723563063 0.3929420295557306 0.7452051021060617 1.0 0.35601660160000836 0.7246536177955171
thought 0.3621243157615643 0.3939664860202297 0.7486439862513389 1.0 0.3577960112054185 0.7265713816799545
without 0.36144464949913774 0.39367978369963563 0.7453275035409026 1.0 0.35620088131670224 0.727274845952186
conversation 0.35692464850098815 0.3923324589545094 0.7447246225939173 1.0 0.3553261986256135 0.7260139603038815
so 0.3614658147082931 0.39347884255754856 0.7471781881291834 1.0 0.3574801262366098 0.7247362674945204
considering 0.35807766123544593 0.392910154739145 0.7456435279260177 1.0 0.35726843041339246 0.7243408224047871
own 0.3616200714404646 0.39309525406710905 0.746550478298219 1.0 0.35700641894528806 0.7248798840478085
mind 0.35834207055525324 0.39262792126309987 0.7450474425392699 1.0 0.35612859311767087 0.7246752075846955
as 0.36136374554739287 0.39369037247339544 0.7479348405724479 1.0 0.35716135399018634 0.7252463924615754
well 0.3605114093815104 0.39319937521832393 0.7470981288288151 1.0 0.35673725500817055 0.724320264443991
could 0.36193072654704744 0.39437102096050086 0.7465811166197465 1.0 0.35727325589612485 0.7253129224401966
for 0.361359983806225 0.39303667833621186 0.7464766542710563 1.0 0.35702047010865245 0.7248020210757367
hot 0.36202242633037646 0.3933860368926032 0.7462328633249034 1.0 0.3563995795691471 0.7255917370474785
day 0.36039404326766283 0.3936795893678337 0.7479387212063251 1.0 0.35889807044891303 0.7266645857006914
made 0.36149539687849863 0.3934046192037279 0.7473743794226976 1.0 0.35807338025114427 0.7255685846350981
feel 0.3602760222744884 0.39434643638096417 0.7485045501777625 1.0 0.35893265298527144 0.7262709319935822
sleepy 0.36038297061911545 0.3943021873092407 0.7483292479575102 1.0 0.358160263217888 0.7274867242044075
stupid 0.3602760222744884 0.39434643638096417 0.7485045501777625 1.0 0.35893265298527144 0.7262709319935822
whether 0.3618861106954099 0.39286425018028076 0.7495394892889097 1.0 0.3588107866428718 0.7280024481682588
pleasure 0.35854512193958293 0.3914485440087096 0.7462105422429903 1.0 0.3574783204130492 0.7259215840763577
making 0.35854512193958293 0.3914485440087096 0.7462105422429903 1.0 0.3574783204130492 0.7259215840763577
daisy 0.3573187642421696 0.39121238472624276 0.7466303755926411 1.0 0.3567071456961324 0.7245067121916717
chain 0.3573187642421696 0.39121238472624276 0.7466303755926411 1.0 0.3567071456961324 0.7245067121916717
