word WORD_FIXATION_COUNT WORD_GAZE_DURATION WORD_FIRST_FIXATION_DURATION WORD_LAST_FIXATION_DURATION WORD_GO_PAST_TIME WORD_TOTAL_READING_TIME WORD_SKIP
the 0.1168531943034873 0.11272377054039184 0.25456297601240524 0.2577493202412861 0.07656938051859666 0.09571460560630565 0.6736548642207522
intense 0.3018433179723502 0.2622391298861887 0.48440586761020193 0.5373168015889734 0.17736402177295763 0.25150298918519515 0.2538265306122449
interest 0.2740591397849462 0.24945018547959727 0.5359958720330238 0.5236096481988625 0.1785280255387946 0.23818488166409174 0.25416666666666665
aroused 0.31797235023041476 0.28351408130819894 0.5830605926581159 0.6099754732312137 0.2769284745424332 0.28489381915189665 0.22704081632653064
in 0.09934507405803196 0.09957935128162866 0.22664390852639177 0.2296568811327542 0.06605821873822831 0.08320092408516759 0.7308403613302396
public 0.21129032258064515 0.21624271330153685 0.49620227038183695 0.4902254055192754 0.12125035965308893 0.18178948075502116 0.2785714285714286
by 0.0969143089345074 0.09803487545263027 0.2218107924707576 0.22418350148963576 0.061406825893192886 0.08282919939797845 0.7521994044938004
what 0.18030909909881535 0.17315113915290833 0.37602009592167646 0.3803533606273128 0.10693715486234827 0.1561339083330264 0.5343737072093678
was 0.14080806039544394 0.13994167741649427 0.31369183683058455 0.31727227238978567 0.08870047246185571 0.12011268543527931 0.6287262399510134
known 0.2151817716333845 0.18534851377988637 0.387853620980556 0.3953792035738528 0.12349589979167852 0.18157474135844523 0.5170068027210885
at 0.09746661913894492 0.09815657705916113 0.22407648112507736 0.22844286524243448 0.06808854005779606 0.08268961440038812 0.7279221574675807
time 0.17843277965449042 0.16911388983059214 0.3674335602819247 0.37044275957594264 0.11643457329058092 0.14816606316325984 0.5034319045035269
as 0.09877832254897499 0.10363752821525032 0.23596304638282584 0.2401436904128728 0.06622414266132629 0.08630693319926054 0.7335761614375558
styles 0.2780149694286317 0.2598883485561686 0.5334797007898447 0.5435343753399121 0.19924653517400492 0.24954408724372845 0.28796101774042954
case 0.19424156353553798 0.1844271204241608 0.39051097654111855 0.39528926798741704 0.11776039551456265 0.15905791483825246 0.439240790655885
has 0.13551708865431458 0.1404854848117737 0.31604416546818653 0.320525573420091 0.0825459544706231 0.11936631241393016 0.6433311539718863
now 0.17131307957486663 0.17129741958601583 0.3602089769572594 0.3748725467390957 0.10767559429684678 0.15246517923327133 0.5802733633696657
somewhat 0.29435483870967744 0.2884183202810654 0.57765737874097 0.550148631884465 0.16487525175716225 0.25087137920482455 0.23412698412698416
subsided 0.43548387096774194 0.4040805511393747 0.6487100103199175 0.6315567726985465 0.30991820461178016 0.4340028212534426 0.2857142857142857
nevertheless 0.35080645161290314 0.37201802642979115 0.6739741510639343 0.688728219326492 0.21963157822625945 0.33186353066113927 0.14795918367346936
view 0.14784946236559138 0.15908555614437966 0.36384588923288613 0.37300751351730915 0.107930179347007 0.13180403484024092 0.488095238095238
of 0.08590875553914872 0.08377112064202392 0.19193165353856145 0.19544956157304252 0.05676470542987723 0.06929841739115776 0.7495522672167668
world-wide 0.5806451612903226 0.4302243419890479 0.6342621259029928 0.4645038971982305 0.36770931809774343 0.4323906764290992 0.07142857142857142
notoriety 0.5 0.49386150856739097 0.625077399380805 0.6286075416052244 0.2861605491388878 0.4960032242896487 0.17857142857142858
which 0.20188774003733034 0.19005959512673065 0.40681477974786207 0.41460444675817004 0.12059731879688768 0.17029663099149916 0.48642034044739174
attended 0.3225806451612903 0.2816640169581346 0.6582043343653251 0.6420897408889825 0.31057585597435156 0.2753409014576476 0.14285714285714285
it 0.10366823227779846 0.1054963490531716 0.23856646320615574 0.2441342583158467 0.06880379131074697 0.08889135357949852 0.7081846551797292
i 0.06414580557931644 0.06537177300193633 0.14918369521162314 0.15178968408140053 0.04048737773343397 0.053323719651261106 0.8055477398343598
have 0.16589949468735593 0.15903799672860577 0.35568261968288534 0.36022928609922195 0.09897247735413213 0.14042671768687282 0.5627671413071664
been 0.16584827881062608 0.1595437179968076 0.3587358483496638 0.3646440871823461 0.10065839410885859 0.13955840955893167 0.5354503086322299
