word IA_FIRST_FIXATION_DURATION IA_FIRST_RUN_DWELL_TIME IA_FIRST_RUN_FIXATION_COUNT IA_DWELL_TIME IA_FIXATION_COUNT IA_SKIP IA_REGRESSION_IN_COUNT IA_REGRESSION_OUT_COUNT IA_REGRESSION_OUT_FULL_COUNT IA_REGRESSION_PATH_DURATION
are 0.3785367217062264 0.15377024209709744 0.19639227642276424 0.1410802891066049 0.18584983498349836 0.755514705882353 0.2029109589041096 0.09296875000000002 0.1125 0.14696393529861748
now 0.4311575507395941 0.17361335574374556 0.2296747967479675 0.16245158350421507 0.22277227722772278 0.625 0.2191780821917808 0.06875 0.11875000000000001 0.14102151908557745
rumblings 0.624140006879945 0.3270088564225225 0.42276422764227645 0.38640793903951803 0.5214521452145214 0.22058823529411764 0.2602739726027397 0.41250000000000003 0.43750000000000006 0.3648820940365192
that 0.43308501031991753 0.17738824423039629 0.21981707317073176 0.16440185058606108 0.21122112211221128 0.6683823529411765 0.18732876712328764 0.07218750000000003 0.10093750000000003 0.1588415614363796
apple 0.589138286893705 0.24726873101040792 0.3130081300813008 0.21441229335966178 0.29042904290429045 0.3529411764705882 0.1506849315068493 0.1375 0.1625 0.20435925010255104
might 0.6010921912624702 0.24774818454112535 0.2872628726287262 0.22374117110959213 0.2673267326732673 0.4117647058823527 0.09132420091324199 0.07499999999999998 0.0958333333333333 0.2377114306514855
soon 0.5863218094255247 0.2436809102075118 0.2926829268292683 0.2069377990430622 0.2623762376237624 0.5367647058823529 0.2397260273972603 0.05 0.05625 0.18117163161454117
invade 0.7163312693498453 0.3242129420130584 0.3861788617886179 0.2873977873977874 0.36303630363036304 0.1764705882352941 0.136986301369863 0.0875 0.1 0.24871672634951605
the 0.33153531068047754 0.13098010038396185 0.16937669376693773 0.11606238441845985 0.15491178747504383 0.7907588961510528 0.12472518180280733 0.09182098765432098 0.11651234567901239 0.12906140729435148
smart 0.6606252149982801 0.30051231495248565 0.33333333333333337 0.29995443153337886 0.3465346534653465 0.3823529411764706 0.2397260273972603 0.0875 0.125 0.26546857503963456
watch 0.6734032794404311 0.29241278255435604 0.31978319783197834 0.30755339527269343 0.34983498349834974 0.39215686274509787 0.2557077625570776 0.17916666666666672 0.22916666666666663 0.2735174447610284
space 0.7310371517027864 0.31739285021656216 0.3434959349593496 0.3213336371231108 0.36468646864686466 0.27941176470588236 0.17123287671232876 0.19375000000000003 0.24375000000000002 0.32411667535116795
though 0.6592707258341933 0.29821740254702955 0.33943089430894313 0.2688223082959925 0.31848184818481845 0.34558823529411764 0.19863013698630136 0.075 0.09375000000000001 0.24996396855840974
company 0.6575507395940833 0.2843590406619691 0.3617886178861789 0.2553985975038607 0.3366336633663366 0.22058823529411764 0.0273972602739726 0.18750000000000003 0.2 0.25929334028093437
is 0.32446014625431396 0.12903799273885966 0.15919223708366123 0.11331195371942401 0.14489513467475781 0.842504743833017 0.14273088820150243 0.06774193548387093 0.08870967741935479 0.11619862747924037
maintaining 0.6176040591675267 0.3726323614971879 0.5203252032520326 0.3547125389230652 0.504950495049505 0.22058823529411764 0.36986301369863017 0.0625 0.0875 0.42135722125522457
its 0.45696271929824567 0.1816112062835348 0.22306910569105692 0.16822200703779652 0.2141089108910891 0.6341911764705882 0.17294520547945205 0.10937500000000001 0.1421875 0.18054939633477088
customary 0.7491830065359477 0.4219568168595255 0.49593495934959353 0.5235310498468394 0.6435643564356436 0.1323529411764706 0.5342465753424658 0.21250000000000002 0.25 0.42471646027117815
silence 0.6718481252149984 0.32209580451225034 0.4085365853658537 0.2971317181843498 0.3894389438943894 0.3970588235294118 0.31506849315068497 0.20625000000000002 0.25625000000000003 0.3432077960953004
doesn't 0.669447311088178 0.3240459413450557 0.3794037940379403 0.4106815861201825 0.4609460946094609 0.23529411764705888 0.2922374429223744 0.17083333333333336 0.23750000000000004 0.29828490338030345
have 0.4676470588235293 0.1913908462085461 0.2463414634146341 0.1904863168021063 0.24785478547854775 0.6088235294117649 0.25205479452054785 0.08624999999999997 0.11999999999999991 0.17315158704641956
a 0.2250965838427138 0.08648769830811329 0.11168438607462995 0.07413249518512675 0.09875602944909868 0.950603318250377 0.09009483667017903 0.06041666666666661 0.07948717948717941 0.08498374392120449
microphone 0.7386480908152735 0.312463636951322 0.37804878048780494 0.3151312624996836 0.40264026402640263 0.08823529411764705 0.136986301369863 0.275 0.3 0.3115444738855198
or 0.2656903481614253 0.10581859814705816 0.13564398801882752 0.09040943666982448 0.12037519541427827 0.8839009287925697 0.0937274693583273 0.061184210526315765 0.07960526315789476 0.10686779699389831
speaker 0.6810715514275886 0.30417286185273773 0.3617886178861789 0.2691324270271639 0.33993399339933994 0.1764705882352941 0.0410958904109589 0.225 0.225 0.4067229126708722
but 0.31521409733484046 0.12712521817829212 0.16569879984514116 0.11373853103176416 0.15228665723715218 0.8151260504201678 0.14872798434442264 0.0380952380952381 0.05238095238095238 0.1156564400724536
you 0.34752321981424145 0.14155407589372293 0.17804878048780487 0.11953621427305636 0.15511551155115508 0.7323529411764708 0.08219178082191785 0.06500000000000003 0.08500000000000003 0.12231177729243117
can 0.4416193670450637 0.18023143060314176 0.22520325203252026 0.16121237437026914 0.20660066006600655 0.7102941176470591 0.2287671232876712 0.07625 0.10124999999999999 0.16397742768766838
use 0.49653136108244494 0.1994849914883531 0.24525745257452572 0.165995797574745 0.21122112211221114 0.5441176470588236 0.07762557077625569 0.05 0.0625 0.15772163032110487
it 0.2997920659491867 0.11854353869028372 0.14721254355400692 0.10372522214627479 0.13236680810938234 0.870273109243697 0.13013698630136988 0.049553571428571426 0.06874999999999999 0.10859480545397242
to 0.27079962372646704 0.1057323727502796 0.1337448559670782 0.09233459006038604 0.12027869453612025 0.8854393609295572 0.10705225773718928 0.07500000000000002 0.0915123456790124 0.1050905412298924
